date,open,close,high,low
26.06.2014,142.96,143.14,143.14,142.96
25.06.2014,143.07,143.13,143.13,143.07
24.06.2014,143.08,143.07,143.08,143.07
23.06.2014,142.87,143.03,143.03,142.87
20.06.2014,142.95,142.95,142.95,142.95
19.06.2014,142.90,143.01,143.01,142.90
18.06.2014,142.96,142.99,142.99,142.96
17.06.2014,143.04,142.96,143.04,142.93
16.06.2014,142.98,143.08,143.10,142.98
13.06.2014,142.93,143.12,143.12,142.92
12.06.2014,143.04,143.05,143.09,143.04
11.06.2014,142.95,142.99,142.99,142.92
10.06.2014,143.07,142.96,143.07,142.96
09.06.2014,143.14,143.09,143.14,143.09
06.06.2014,143.14,143.10,143.19,143.10
05.06.2014,142.80,142.90,142.90,142.78
04.06.2014,142.77,142.77,142.77,142.77
03.06.2014,142.69,142.69,142.69,142.69
02.06.2014,142.71,142.74,142.74,142.71
30.05.2014,142.69,142.69,142.69,142.69
29.05.2014,142.75,142.70,142.75,142.70
28.05.2014,142.69,142.73,142.73,142.69
27.05.2014,142.70,142.66,142.70,142.66
26.05.2014,142.67,142.70,142.70,142.67
23.05.2014,142.47,142.55,142.55,142.47
22.05.2014,142.46,142.43,142.46,142.43
21.05.2014,142.38,142.38,142.38,142.38
20.05.2014,142.39,142.36,142.39,142.36
19.05.2014,142.57,142.48,142.57,142.44
16.05.2014,142.47,142.58,142.58,142.47
15.05.2014,142.64,142.54,142.64,142.54
14.05.2014,142.62,142.65,142.65,142.62
13.05.2014,142.61,142.61,142.61,142.61
12.05.2014,142.53,142.55,142.55,142.53
09.05.2014,142.63,142.59,142.63,142.59
08.05.2014,142.55,142.66,142.66,142.54
07.05.2014,142.52,142.57,142.62,142.52
06.05.2014,142.52,142.58,142.60,142.52
05.05.2014,142.58,142.58,142.60,142.58
02.05.2014,142.52,142.56,142.56,142.52
30.04.2014,142.46,142.51,142.51,142.46
29.04.2014,142.38,142.45,142.45,142.38
28.04.2014,142.44,142.44,142.47,142.41
25.04.2014,142.47,142.46,142.47,142.46
24.04.2014,142.48,142.47,142.48,142.47
23.04.2014,142.54,142.52,142.54,142.52
22.04.2014,142.48,142.48,142.48,142.48
17.04.2014,142.60,142.48,142.60,142.48
16.04.2014,142.56,142.58,142.58,142.56
15.04.2014,142.57,142.56,142.57,142.56
14.04.2014,142.50,142.51,142.52,142.49
11.04.2014,142.55,142.48,142.55,142.48
10.04.2014,142.60,142.58,142.60,142.58
09.04.2014,142.60,142.57,142.60,142.57
08.04.2014,142.55,142.56,142.60,142.55
07.04.2014,142.64,142.61,142.64,142.61
04.04.2014,142.56,142.63,142.63,142.56
03.04.2014,142.36,142.46,142.46,142.36
02.04.2014,142.41,142.39,142.41,142.38
01.04.2014,142.41,142.41,142.44,142.41
31.03.2014,142.46,142.38,142.46,142.38
28.03.2014,142.44,142.41,142.47,142.40
27.03.2014,142.40,142.44,142.44,142.40
26.03.2014,142.25,142.37,142.37,142.25
25.03.2014,142.18,142.26,142.26,142.18
24.03.2014,142.21,142.22,142.23,142.19
21.03.2014,142.21,142.22,142.25,142.18
20.03.2014,142.18,142.13,142.21,142.13
19.03.2014,142.28,142.25,142.34,142.25
18.03.2014,142.24,142.28,142.31,142.24
17.03.2014,142.28,142.28,142.29,142.27
14.03.2014,142.23,142.18,142.29,142.18
13.03.2014,142.25,142.21,142.31,142.21
12.03.2014,142.26,142.25,142.30,142.25
11.03.2014,142.25,142.27,142.27,142.25
10.03.2014,142.23,142.30,142.30,142.23
07.03.2014,142.17,142.23,142.24,142.17
06.03.2014,142.31,142.31,142.36,142.31
05.03.2014,142.33,142.31,142.33,142.31
04.03.2014,142.20,142.19,142.20,142.19
03.03.2014,142.05,142.11,142.11,142.05
28.02.2014,142.17,142.05,142.17,142.05
27.02.2014,142.09,142.15,142.16,142.09
26.02.2014,142.03,142.12,142.12,142.03
25.02.2014,142.88,142.91,142.91,142.88
24.02.2014,142.96,142.92,142.96,142.92
21.02.2014,142.90,142.93,142.94,142.90
20.02.2014,142.91,142.84,142.91,142.84
19.02.2014,143.00,142.91,143.00,142.91
