date,open,close,high,low
10.09.2013,175.04,174.66,175.24,174.66
09.09.2013,175.33,175.40,175.51,175.33
06.09.2013,174.43,175.57,175.57,174.43
05.09.2013,175.40,174.48,175.46,174.48
04.09.2013,175.88,175.87,176.00,175.85
03.09.2013,176.22,175.88,176.43,175.85
02.09.2013,175.96,176.24,176.31,175.96
30.08.2013,176.47,176.48,176.77,176.47
29.08.2013,176.32,176.58,176.58,176.32
28.08.2013,176.43,176.31,176.68,176.25
27.08.2013,176.32,176.42,176.63,176.32
26.08.2013,176.02,176.29,176.31,175.96
23.08.2013,176.08,176.00,176.17,175.55
22.08.2013,175.83,176.05,176.19,175.80
21.08.2013,176.90,176.34,176.90,176.33
20.08.2013,176.85,176.87,176.93,176.80
19.08.2013,176.80,176.55,176.87,176.55
16.08.2013,176.94,177.04,177.05,176.94
15.08.2013,177.63,176.68,177.64,176.59
14.08.2013,177.47,177.61,177.61,177.41
13.08.2013,178.26,177.55,178.28,177.55
12.08.2013,178.48,178.69,178.71,178.37
09.08.2013,178.57,178.64,178.64,178.57
08.08.2013,178.59,178.50,178.64,178.26
07.08.2013,178.09,178.25,178.31,178.09
06.08.2013,178.05,178.08,178.30,178.05
05.08.2013,178.90,178.02,178.90,178.02
02.08.2013,177.99,178.49,178.60,177.59
01.08.2013,178.82,178.26,178.82,178.03
31.07.2013,177.72,177.85,178.07,177.72
30.07.2013,177.91,178.03,178.03,177.91
29.07.2013,178.07,177.76,178.12,177.76
26.07.2013,178.06,178.03,178.15,177.95
25.07.2013,178.15,177.79,178.31,177.79
24.07.2013,178.71,178.10,178.71,178.10
23.07.2013,179.29,178.90,179.52,178.85
22.07.2013,179.29,179.28,179.42,179.25
19.07.2013,179.23,179.07,179.40,179.07
18.07.2013,178.77,179.32,179.34,178.77
17.07.2013,178.74,178.88,178.88,178.39
16.07.2013,178.41,178.77,178.80,178.41
15.07.2013,178.38,178.41,178.53,178.31
12.07.2013,178.36,178.52,178.69,178.36
11.07.2013,178.20,177.85,178.21,177.77
10.07.2013,178.01,177.73,178.05,177.73
09.07.2013,177.58,178.10,178.10,177.58
08.07.2013,177.56,177.60,177.75,177.45
05.07.2013,177.97,177.40,177.98,177.40
04.07.2013,177.18,177.71,178.17,176.92
03.07.2013,177.19,177.14,177.53,177.14
02.07.2013,177.04,177.27,177.33,177.04
01.07.2013,176.66,176.99,176.99,176.33
28.06.2013,176.97,176.47,176.97,176.04
27.06.2013,176.43,176.41,176.79,176.29
26.06.2013,174.80,175.81,175.81,174.80
25.06.2013,175.00,174.72,175.44,174.72
24.06.2013,175.15,174.46,175.15,174.41
21.06.2013,176.60,176.13,177.00,176.13
20.06.2013,177.81,177.30,177.81,176.92
19.06.2013,178.89,179.16,179.35,178.89
18.06.2013,179.33,178.90,179.33,178.88
17.06.2013,179.41,179.40,179.62,179.28
14.06.2013,179.37,179.46,179.46,179.35
13.06.2013,178.40,178.52,178.74,178.40
12.06.2013,178.00,178.23,178.46,177.97
11.06.2013,178.11,178.13,178.13,177.53
10.06.2013,179.05,178.53,179.40,178.53
07.06.2013,179.35,179.07,179.43,179.02
06.06.2013,179.91,178.97,179.97,178.97
05.06.2013,179.83,179.79,179.89,179.73
04.06.2013,179.41,179.57,179.57,179.40
03.06.2013,179.73,179.57,179.73,179.21
31.05.2013,180.03,180.03,180.03,180.03
30.05.2013,179.69,179.70,179.70,179.69
29.05.2013,180.05,179.68,180.14,179.63
28.05.2013,180.59,180.36,180.84,180.36
27.05.2013,180.80,180.73,180.86,180.68
24.05.2013,180.98,180.73,181.08,180.73
23.05.2013,181.58,180.96,181.74,180.96
22.05.2013,181.35,181.65,181.81,181.35
21.05.2013,181.72,181.27,181.77,181.27
20.05.2013,182.00,181.98,182.16,181.90
17.05.2013,182.00,182.15,182.35,182.00
16.05.2013,181.06,181.80,181.80,181.06
15.05.2013,181.21,181.06,181.21,181.06
14.05.2013,181.29,181.07,181.45,181.07
13.05.2013,181.46,181.38,181.51,181.34
10.05.2013,182.09,181.36,182.09,181.36
09.05.2013,182.98,182.48,182.98,182.48
08.05.2013,182.54,182.73,182.79,182.40
07.05.2013,183.09,182.38,183.09,182.38
06.05.2013,183.10,182.86,183.11,182.85
03.05.2013,183.96,182.96,183.96,182.96
02.05.2013,183.17,183.68,183.80,182.92
30.04.2013,182.82,183.26,183.26,182.82
29.04.2013,182.42,182.92,182.92,182.42
26.04.2013,182.16,182.52,182.52,182.16
25.04.2013,182.30,182.18,182.30,182.02
24.04.2013,182.25,182.30,182.47,182.04
23.04.2013,183.75,184.43,184.43,183.75
22.04.2013,183.28,183.81,183.81,183.06
19.04.2013,183.10,183.06,183.23,183.06
18.04.2013,183.23,183.12,183.32,183.07
17.04.2013,182.57,183.26,183.26,182.48
16.04.2013,182.79,182.68,182.87,182.64
15.04.2013,182.66,182.80,182.89,182.62
12.04.2013,182.18,182.75,182.75,182.18
11.04.2013,182.47,182.15,182.49,182.04
10.04.2013,182.48,182.29,182.48,182.29
09.04.2013,183.06,182.59,183.06,182.39
08.04.2013,183.09,183.08,183.43,183.08
05.04.2013,182.44,183.08,183.12,182.34
04.04.2013,181.13,181.94,181.94,181.13
